Time	Src IP            Dest IP
18.2	172.31.206.121    64.233.180.101
18.2	64.233.180.101    172.31.206.121
18.2	172.31.206.121    64.233.180.101
18.2	172.31.206.121    64.233.180.101
27.0	172.31.206.121    172.253.63.105
27.0	172.253.63.105    172.31.206.121
27.0	172.31.206.121    172.253.63.105
27.0	172.31.206.121    172.253.63.105
27.0	172.253.63.105    172.31.206.121
27.0	172.253.63.105    172.31.206.121
37.7	172.31.206.121    128.116.102.4
37.8	128.116.102.4     172.31.206.121
37.8	172.31.206.121    128.116.102.4
37.8	172.31.206.121    128.116.102.4
37.8	128.116.102.4     172.31.206.121
37.8	172.31.206.121    128.116.102.4
42.7	172.31.206.121    13.107.246.41
42.7	13.107.246.41     172.31.206.121
42.7	172.31.206.121    13.107.246.41
42.7	172.31.206.121    13.107.246.41
49.8	172.31.206.121    93.184.215.14
49.8	93.184.215.14     172.31.206.121
49.8	172.31.206.121    93.184.215.14
49.8	172.31.206.121    93.184.215.14
49.8	93.184.215.14     172.31.206.121
49.8	93.184.215.14     172.31.206.121
